scenario,intervention,level,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,0.6282133083826311,0.6823084932995291,0.7658267938347619,0.0,0.6823084932995291,0.09521087367700913,0.35955763687626613,0.47395491920116223,0.16648744392257162,0.033066320576280735,0.0,0.003805686345526983,0.018212201698257477,0.012868022858062697,0.26710242546325785,0.0,0.3424719931192722,0.15590220128046034,0.0,0.033633345406253776,0.10463242987645378,0.009577699303794922,0.05656676325003018,0.021293009779065553,0.001771298643808604,0.040550525172039116,58.976216346734276,34.28947268053453,8.248470763411003
mentors_current,MENTORS,current,0.6282133083826311,0.6823084932995291,0.7658128596724214,0.0,0.6823084932995291,0.09457669322709164,0.36067887568632934,0.4735698358496242,0.16575128846404646,0.07459445048090467,0.01690877902531289,0.005721407300092559,0.057172522033079806,0.030105788965350717,0.6021280705338043,0.5345185135079246,0.5411325542375388,0.5185763202917064,0.0,0.022911636283150228,0.07162632299086483,0.00822372127651012,0.05425218318644614,0.021293009779065553,0.001771298643808604,0.03315530806068655,50.97287617207936,26.178374210446794,8.173467745180893
mentors_moderate,MENTORS,moderate,0.6282133083826311,0.6823084932995291,0.7657939957342347,0.0,0.6823084932995291,0.09426224395347901,0.3611545163512557,0.4734102041245641,0.16543527952418022,0.09430852348183025,0.02072678981045515,0.0070073745422351,0.06986624210229789,0.03797954646062216,0.7613140123990647,0.6764776987372838,0.6794841046826652,0.6519810624970868,0.0,0.020024799790736045,0.06012183588876816,0.0074330455953961925,0.05312713791299448,0.021293009779065553,0.001771298643808604,0.030615920157752826,49.292728077588635,23.842298486970076,8.095748319851905
mentors_high,MENTORS,high,0.6282133083826311,0.6823084932995291,0.7657807155217513,0.0,0.6823084932995291,0.0939740532818222,0.3616294691933492,0.473256644956329,0.16511388585032186,0.11522837941164635,0.02433845426375307,0.00825988973399332,0.08198680027365286,0.04618561109098958,0.9303561348409903,0.8204921689680588,0.8212757488369591,0.788910141985419,0.0,0.017198478812024628,0.04852473942613385,0.0066410620145679914,0.05202915610286128,0.021293009779065553,0.001771298643808604,0.0280457463076985,46.47571330838263,21.398641498540815,8.001177109742848
prompts_base,PROMPTS,base,0.6282133083826311,0.6823084932995291,0.7658267938347619,0.0,0.6823084932995291,0.09521087367700913,0.35955763687626613,0.47395491920116223,0.16648744392257162,0.033066320576280735,0.0,0.003805686345526983,0.018212201698257477,0.012868022858062697,0.26710242546325785,0.0,0.3424719931192722,0.15590220128046034,0.0,0.033633345406253776,0.10463242987645378,0.009577699303794922,0.05656676325003018,0.021293009779065553,0.001771298643808604,0.040550525172039116,58.976216346734276,34.28947268053453,8.248470763411003
prompts_current,PROMPTS,current,0.6300504044428348,0.6842199384281058,0.7659154794961567,0.0,0.6842199384281058,0.09339535796209103,0.35925529952162677,0.47390676384259683,0.16683793663577642,0.03316179725542275,0.0,0.0038050826995050103,0.018126282747796693,0.012878536359612057,0.2670361421410883,0.0,0.34262384125284273,0.15526292948588036,0.0,0.033607791057990256,0.10461160408869573,0.009570103424685098,0.056559871624612665,0.02129235582920842,0.001771298643808604,0.04053588675600627,57.65322548191074,34.04486600154348,8.231518370960602
prompts_moderate,PROMPTS,moderate,0.684502142943378,0.7228967463479415,0.7660268018833756,0.0,0.7228967463479415,0.04772410358565737,0.36290271866130314,0.4739318464688771,0.16316543486981977,0.03613425087528673,0.0,0.0037706748762525656,0.017179212443156667,0.013235089943257275,0.26751977309033553,0.0,0.34522909350314585,0.15000143088556675,0.0,0.033083926918588275,0.1029519296551169,0.009363505573664936,0.05695349913477403,0.021245472654835208,0.0017396575314902007,0.04009623123666948,50.28371363032718,29.335123839593702,6.96008893718057
prompts_high,PROMPTS,high,0.8379804519296552,0.7663889894965592,0.7663889894965592,0.0,0.7663889894965592,0.0,,,,0.044098504970018916,0.0,0.003734607026439696,0.01484058714636404,0.01389507626061411,0.26692450646458515,0.0,0.3600252972863592,0.1471312300044062,0.0,0.028409845466618372,0.09091648557286007,0.008833101935691577,0.0607772948609602,0.02114290313493501,0.001717020805666224,0.038093233128093686,35.29820113485452,22.48666329306388,5.949333977222424
prompts_high_shift,PROMPTS,high_shift,0.8852935228781843,0.8459682482192443,0.8578456376514145,0.0,0.8459682482192443,0.01625754557527466,0.33639891286468576,0.48518861709302824,0.17841247004228603,0.04664589118274377,0.0,0.0035976296832870534,0.016824570405247697,0.014416022777576563,0.267255821608456,0.0,0.35039376701257696,0.16093164313011182,0.0,0.03053674192120407,0.09314202784820315,0.008772636725823978,0.058882299086482355,0.021522546178920684,0.0016383456074691135,0.03856387580989175,34.64928166123385,25.607278265826007,5.842337719827761
blood_base,Blood,base,0.6282133083826311,0.6823084932995291,0.7658267938347619,0.0,0.6823084932995291,0.09521087367700913,0.35955763687626613,0.47395491920116223,0.16648744392257162,0.033066320576280735,0.0,0.003805686345526983,0.018212201698257477,0.012868022858062697,0.26710242546325785,0.0,0.3424719931192722,0.15590220128046034,0.0,0.033633345406253776,0.10463242987645378,0.009577699303794922,0.05656676325003018,0.021293009779065553,0.001771298643808604,0.040550525172039116,58.976216346734276,34.28947268053453,8.248470763411003
blood_current,Blood,current,0.6282133083826311,0.6823084932995291,0.7658267938347619,0.0,0.6823084932995291,0.09521087367700913,0.35955763687626613,0.47395491920116223,0.16648744392257162,0.033066320576280735,0.0,0.003805686345526983,0.018212201698257477,0.012868022858062697,0.26710242546325785,0.0,0.3424719931192722,0.15590220128046034,0.0,0.033633345406253776,0.10463242987645378,0.009577699303794922,0.05656676325003018,0.021293009779065553,0.001771298643808604,0.040550525172039116,52.82405730612901,29.95336737413649,8.248470763411003
blood_moderate,Blood,moderate,0.6282133083826311,0.6823084932995291,0.7658267938347619,0.0,0.6823084932995291,0.09521087367700913,0.35955763687626613,0.47395491920116223,0.16648744392257162,0.033066320576280735,0.0,0.003805686345526983,0.018212201698257477,0.012868022858062697,0.26710242546325785,0.0,0.3424719931192722,0.15590220128046034,0.0,0.033633345406253776,0.10463242987645378,0.009577699303794922,0.05656676325003018,0.021293009779065553,0.001771298643808604,0.040550525172039116,46.18898144794559,25.419277626750755,8.248470763411003
blood_high,Blood,high,0.6282133083826311,0.6823084932995291,0.7658267938347619,0.0,0.6823084932995291,0.09521087367700913,0.35955763687626613,0.47395491920116223,0.16648744392257162,0.033066320576280735,0.0,0.003805686345526983,0.018212201698257477,0.012868022858062697,0.26710242546325785,0.0,0.3424719931192722,0.15590220128046034,0.0,0.033633345406253776,0.10463242987645378,0.009577699303794922,0.05656676325003018,0.021293009779065553,0.001771298643808604,0.040550525172039116,35.65535836452171,18.34015874982677,8.248470763411003
