Iteration,RMSE
1,0.22414068863745112
2,0.3123902666724951
3,0.23737539230808724
4,0.37032699729416835
5,0.33365892998001273
6,0.28529882526508044
7,0.2064633419232643
8,0.3338200037786493
9,0.25021427110151523
10,0.2842384156483263
11,0.3840264250535278
12,0.33353453588300164
13,0.3408323204372098
14,0.2493400479702047
15,0.3663588962885518
16,0.26148544106164695
17,0.2540208617932214
18,0.2647728260137436
19,0.15922618632991353
20,0.23934260828627668
21,0.24673195815948024
22,0.1654771992756839
23,0.29197343220090094
24,0.1991857990286652
25,0.144492239585772
26,0.0624564717054004
27,0.0806400841138134
28,0.12417141192237953
29,0.09138784644206123
30,0.3880510067164491
31,0.12046174653070653
32,0.05888383170562373
33,0.13830882354065885
34,0.04605428921000472
35,0.07963502118654438
36,0.08553960846947581
37,0.5115434310985215
38,0.059536929089404535
39,0.2672263631220572
40,0.0635358829094006
41,0.5554538421757801
42,0.04953824849751733
43,0.05709142395587368
44,0.20797245976668
45,0.45012384753657103
46,0.04427236753321089
47,0.044325607792758875
48,0.07414737580448273
49,0.045030345178597234
50,0.0437415421827677
51,0.0449990229546144
52,0.04181382584745512
53,0.04206282298965517
54,0.043061442291229116
55,0.04137881771322476
56,0.042289907005662215
57,0.04131245532594582
58,0.04135020338241383
59,0.0388883181638827
60,0.03884101904760573
61,0.037639344271768606
62,0.025574638587853794
63,0.06814326555068384
64,0.03501355018935307
65,0.032196974814430915
66,0.025545231332832093
