Iteration,RMSE
1,15.337385596747652
2,1.422938480680672
3,19.498707963813477
4,7.434049079787498
5,8.245214085586271
6,3.6456192610447853
7,4.690962231927989
8,1.943753686388777
9,22.35328224555681
10,13.257323887796693
11,11.314445599624914
12,3.7019890257914105
13,17.65865843349781
14,19.751458162085886
15,12.398651508857954
16,15.054738015268617
17,8.64134388411928
18,2.290758124128271
19,14.52714698437919
20,3.487035441069381
21,4.776795393004696
22,2.2130984050655553
23,2.3898228346916945
24,0.5959840558171138
25,3.1667943555044915
26,2.2439126507642055
27,4.738517028493783
28,4.1384885018521995
29,1.5415159504144638
30,0.8728122606640225
31,1.4886653725890724
32,0.7429766693010558
33,1.611083827126685
34,0.8218795653386972
35,0.8426548267320405
36,0.8686436161017854
37,1.8816434399802402
38,0.6533304025913499
39,0.5940877880748551
40,0.6234269256851808
41,0.6421469338645877
42,2.3448006903092558
43,5.299049565174101
44,0.11332723010482179
45,0.31168976959376693
46,5.432884047493442
47,0.9175091003911713
48,5.79686061790804
49,0.27340649535764683
50,1.8110332340907318
51,0.6965553568011242
52,1.314790928804594
53,3.976674887421424
54,0.9045800555115822
55,1.041009552232124
56,1.169419787408072
57,0.9776663844246786
58,3.6290875162098217
59,0.8743348491753945
60,6.008454213541032
61,5.813136618950347
62,4.451899366710118
63,2.716830059879035
64,0.7153671309709481
65,1.478008365275858
66,1.1535768199562606
67,0.6602507780156657
68,0.1542151998017411
69,0.13651367531833647
70,0.10281423305143017
71,0.18108840054356407
72,0.36524018462700863
73,0.4408127047950943
74,0.469212398207202
75,0.5320303376390566
76,0.5065893022751748
77,0.6525422205263428
78,0.8282551607729427
79,1.408686761603118
80,0.3661677806881737
81,0.1849053085201936
82,0.47967232721562003
83,0.24173710344253896
84,0.5053468955015521
85,0.6860032530920824
86,0.6151746591752999
87,1.03380429377924
88,0.40433731937393474
89,1.314659663498573
90,0.6051614087969169
91,0.7325121627176857
92,0.34311877360119025
93,0.3339929151515816
94,0.42149195584897803
95,0.619531560001988
96,0.40927401531221697
97,0.8264779644919416
98,1.3909589774003472
99,0.5075338911441484
100,1.0152613916606057
101,0.25248137781990015
102,0.8108795437987477
103,0.2174374645908848
104,0.24442714762668108
105,0.3152304223825223
106,0.58852813442278
107,0.2868949146195113
108,0.6514763645432192
109,0.32667466157715824
110,0.5683323224647673
111,5.144905356252202
112,0.7757639028775971
113,0.4418957429819692
114,0.44104647261706353
115,19.680934601553908
116,0.5321177501675945
117,0.12754979215133302
118,0.03480225614163338
