Iteration,RMSE
1,77.00331830999367
2,10.0
3,97.85786948250528
4,37.2693609278029
5,10.0
6,18.192521532535626
7,10.0
8,9.742499691612194
9,10.0
10,66.60583088873797
11,56.90901949974641
12,18.44689271621098
13,10.0
14,10.0
15,62.211221968342684
16,75.44955173030566
17,43.37766689896353
18,11.366820376213724
19,72.98934365974006
20,17.438247891866144
21,10.0
22,10.0
23,10.0
24,10.0
25,28.778468989062553
26,10.0
27,10.0
28,10.0
29,10.0
30,42.08045372677441
31,10.0
32,10.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,10.0
39,10.0
40,10.0
41,10.0
42,10.0
43,10.0
44,10.0
45,10.0
46,10.0
47,10.0
48,26.89240770636624
49,10.0
50,10.0
51,10.0
52,10.343568457302494
53,17.25384625119704
54,10.0
55,10.0
56,28.26183566049992
57,10.0
58,22.40489529377479
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,27.269247925763953
79,23.17005065847213
80,19.837961990961013
81,10.0
82,17.685733933494642
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,23.392150300934656
96,10.0
97,19.455429699092917
98,22.833724644298403
99,10.0
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,10.0
107,10.0
108,10.0
109,10.0
110,10.0
111,10.0
112,54.62739244397469
113,10.0
114,10.0
115,10.0
116,10.0
117,17.125774657216283
118,10.0
119,10.0
120,10.0
121,7.81450311105
122,10.0
123,10.0
124,25.74105074969081
125,20.35776512387341
126,10.0
127,10.0
128,10.0
129,10.0
130,19.453770479968142
131,10.0
132,10.0
133,10.0
134,18.38555562575833
135,10.0
136,61.35314736907494
137,27.96579280716948
138,10.0
139,10.0
140,10.0
141,10.0
142,10.0
143,10.0
144,10.0
145,10.0
146,10.0
147,10.0
148,65.6591632585494
149,10.0
150,10.0
151,10.0
152,10.0
153,10.0
154,10.0
155,10.0
156,10.0
157,10.0
158,10.0
159,10.0
160,10.0
161,10.0
162,10.0
163,10.0
164,19.590575466087017
165,10.0
166,10.0
167,10.0
168,10.0
169,10.0
170,10.0
171,10.0
172,10.0
173,10.0
174,10.0
175,10.0
176,10.0
177,10.0
178,10.0
179,10.0
180,10.0
181,10.0
182,10.0
183,10.0
184,10.0
185,10.0
186,10.0
187,10.0
188,10.0
189,10.0
190,10.0
191,10.0
192,10.0
193,19.30259342812602
194,17.341322016818623
195,10.0
196,10.0
197,10.0
198,13.988911063073813
199,10.0
200,10.0
201,10.0
202,10.0
203,10.0
204,22.665411399273566
205,10.0
206,10.0
207,26.137810823649158
208,34.682032844779904
209,10.0
210,10.0
211,10.0
