Iteration,Weighted_RMSE
1,18.197351542653035
2,26.416203085094107
3,42.06785606802352
4,16.195619865055445
5,12.648083985719788
6,21.0560438726472
7,22.613199547876164
8,12.729732665030465
9,29.068441525249376
10,13.692858601597004
11,19.666734061303405
12,9.072628500382192
13,16.666231595911075
14,15.691966596113753
15,38.78926728739192
16,12.405298792517996
17,7.413484454922522
18,33.778290456374215
19,26.781359875972143
20,10.483786418606355
21,13.792254493146787
22,8.211452754417762
23,13.338914522525597
24,25.759697236819644
25,11.690910678088843
26,24.010906812203565
27,9.814976374050328
28,14.577121990181206
29,9.576291861016431
30,6.137211830256744
31,13.028157127492625
32,21.185881635907315
33,12.971008211259216
34,13.745776880131686
35,28.4142681365438
36,8.102834021086109
37,16.02998783787401
38,24.30261013164128
39,26.4124901272274
40,17.34004830439131
41,9.49869145518151
42,9.96723807608917
43,15.674518723861382
44,17.80991224199187
45,16.383821085329473
46,17.308584879321664
47,25.471002945953014
48,30.34456938472662
49,23.18876569129544
50,24.32938815349669
51,5.010809954175605
52,6.777028698229411
53,23.506736322923775
54,16.929106380951694
55,6.549289472672522
56,15.892148187417359
57,19.801167062381108
58,14.982110238152567
59,30.50139294315324
60,5.276172758007822
61,22.631835418830136
62,19.446875808326634
63,22.76948399323476
64,29.858898479179608
65,29.19205805867977
66,11.63468040174808
67,14.074753889093072
68,36.64017026693861
69,9.580000138226934
70,24.581717613705912
71,14.667522112459796
72,21.591916093994374
73,19.37469281031639
74,24.354784560838265
75,8.842575143012757
76,32.650613173285095
77,9.326735319559322
78,20.307868287365633
79,31.027466201736736
80,29.18887029239935
81,4.495659341595516
82,3.891881878882866
83,7.064677775647376
84,2.526348226369372
85,2.829168073484893
86,2.028810022073044
87,1.9603297121224048
88,2.0494643402061103
89,1.5806039348146088
90,2.3798702425523923
91,2.751876204236079
92,3.351505638041069
93,1.6060902938519175
94,1.664906461560646
95,1.4951508503526107
96,1.5327809461400657
97,1.278684006902577
98,1.102350503641701
99,1.038622472834189
100,1.1397682067427561
101,1.1103794549050938
102,1.2109347767784169
103,1.3341153136319956
104,0.8757221786154243
105,1.7952455075162728
106,5.76415643093719
107,1.468694185600757
108,1.6978016333367625
109,1.5148842009721981
110,6.041572460718164
111,8.952125176983012
112,1.675109181963959
113,2.3216745067809366
114,4.605184830143928
115,10.598424409044974
116,1.1501073653528746
117,5.754524886389485
118,10.29802976413878
119,1.3012937668742524
120,7.7294671323978426
121,1.0206930893496304
122,12.142015088593782
123,0.9965801995718737
124,0.9692178006298154
125,0.8053691713435787
126,0.8254503241097749
127,0.9746097001271949
128,0.8650726282692054
129,0.8892834068305686
130,0.8356840050624826
131,0.9159305136830809
132,0.8591576755173905
133,0.8902127829202459
134,0.9400592669784331
135,0.6423527174799044
136,0.74862801356522
137,1.3445716079462038
138,0.7686686669623156
139,0.6968614694921444
140,0.6532459705046675
141,0.6095956166357515
142,4.567581571331259
143,0.663662830262284
144,0.6524006913758585
145,0.5581232910882794
146,0.541490406701034
