Iteration,RMSE
1,14.821011843676525
2,7.233799094267603
3,10.0
4,17.8548601118384
5,10.0
6,6.199457927528765
7,10.0
8,6.986949913259782
9,3.3044315446784935
10,10.0
11,10.0
12,0.7064539436590391
13,9.650261909852254
14,5.039483880803745
15,10.400854391475363
16,10.0
17,9.64087925397838
18,2.878178745671693
19,10.0
20,10.0
21,10.0
22,10.0
23,1.9941701204722346
24,1.785775587735726
25,3.9450422422465374
26,4.314139205072815
27,0.7186070715035986
28,0.5147573488925141
29,0.25247250452214104
30,0.6658975943451769
31,1.2842797369864956
32,1.3348009345343703
33,10.0
34,0.7499263426585492
35,2.4948034701544426
36,6.0258636020844945
37,1.9144504208480422
38,0.7607151103452602
39,1.2477754559840462
40,0.09029850189858599
