parameter_n,value,ci_lower,ci_upper
cost_dict.SDR Equip,11359478.0,,
cost_dict.SDR Fac Delivery,6148.0,,
cost_dict.SDR Infra,2257330.4157549236,,
cost_dict.SDR PM,40207381.0,,
cost_dict.SDR PM2,5693559.0,,
cost_dict.SDR PM2 Aggressive,6833850.0,,
cost_dict.SDR PM2 Conservative,4556971.0,,
cost_dict.SDR PM2 Moderate,5693559.0,,
cost_dict.SDR Taxi Dispatch,5500.0,,
cost_dict.SDR Taxi Monthly,250.0,,
cost_dict.SDR Taxi Setup,19000.0,,
cost_dict.SDR anesthetist,5098.0,,
cost_dict.SDR nurse staff,4380.0,,
cost_dict.SDR surgical staff,9958.0,,
cost_dict.antibiotics,125.37,,
cost_dict.iv_iron,2843.5,,
cost_dict.pph_bundle,1648.3907142857142,,
density_skilled_worker_kenya,174.09,,
dispatches_per_vehicle,57.0,,
elective_CS_preterm_target,0.265,,
elective_CS_target,0.06,,
home_all_target,0.35,,
home_anc_target,0.07,,
home_lowrisk,0.1692,,
home_noANC,0.706,,
intervention_fidelity,0.87,,
l23_all_target,0.392,,
l23_anc_target,0.49,,
l45_all_target,0.258,,
l45_anc_target,0.439,,
l45_fac,0.11,,
mothers_per_CHV_permonth,1.0833333333333333,,
n_CHV,5040.0,,
n_population,1867283.0,,
num_CTGs_L2/3,0.0,,
num_CTGs_L4,0.0,,
num_CTGs_L5,0.0,,
num_L2/3,187.0,,
num_L4,17.0,,
num_L5,1.0,,
num_dopplers_L2/3,167.0,,
num_dopplers_L4,34.0,,
num_dopplers_L5,2.0,,
nurse_needed_perLB,0.18518518518518517,,
or_anc_anemia,3.1402021820208548,,
or_anemia_eclampsia,3.961666571078906,,
or_anemia_pph,10.634500607590109,,
or_anemia_sepsis,8.35407136041768,,
p_ANC_base,0.5110704352331614,,
p_CHV_soften_spread,0.9,,
p_MM_home,0.1456,,
p_MM_others,0.0053,,
p_NM_home,0.235,,
p_OL__0,0.05816478669204917,,
p_OL__1,0.19323869748501704,,
p_OL_scale,0.7982,,
p_PL_GA__0,0.07527580581793267,,
p_PL_GA__1,0.08052522112745082,,
p_PL_GA__2,0.0914165883152671,,
p_PL_GA__3,0.11163400507330425,,
p_PL_GA__4,0.14870132568280253,,
p_PL_GA__5,0.19234596592059425,,
p_RDS_noT__0,0.9,,
p_RDS_noT__1,0.6,,
p_RDS_noT__10,0.0,,
p_RDS_noT__11,0.0,,
p_RDS_noT__12,0.0,,
p_RDS_noT__13,0.0,,
p_RDS_noT__14,0.0,,
p_RDS_noT__15,0.0,,
p_RDS_noT__16,0.0,,
p_RDS_noT__17,0.0,,
p_RDS_noT__2,0.6,,
p_RDS_noT__3,0.6,,
p_RDS_noT__4,0.6,,
p_RDS_noT__5,0.4,,
p_RDS_noT__6,0.4,,
p_RDS_noT__7,0.4,,
p_RDS_noT__8,0.2,,
p_RDS_noT__9,0.2,,
p_aph,0.0176,,
p_asphyxia_OL,0.7923152349091293,,
p_blood_needed_aph,0.84,,
p_blood_needed_pph,0.325,,
p_comp_anemia,0.2500726368931835,,
p_comp_severe_lowrisk,0.0501,,
p_cs_capacity__0,0.0,,
p_cs_capacity__1,0.0568,,
p_cs_capacity__2,0.1215,,
p_cs_capacity__3,0.1215,,
p_cs_capacity_sdr__0,0.0,,
p_cs_capacity_sdr__1,0.0,,
p_cs_capacity_sdr__2,0.1215,,
p_cs_capacity_sdr__3,0.1215,,
p_cs_capacity_sdr_sensor__0,0.0,,
p_cs_capacity_sdr_sensor__1,0.0,,
p_cs_capacity_sdr_sensor__2,0.1215,,
p_cs_capacity_sdr_sensor__3,0.1215,,
p_cs_capacity_sensor__0,0.0,,
p_cs_capacity_sensor__1,0.0568,,
p_cs_capacity_sensor__2,0.1215,,
p_cs_capacity_sensor__3,0.1215,,
p_eclampsia,0.0164,,
p_elec_CS|highrisk,0.0642,,
p_elec_CS|highrisk_us,0.35,,
p_elec_CS|preterm,0.7799,,
p_elec_CS|preterm_us,0.7799,,
p_highrisk,0.2592804079518875,,
p_hypoxia,0.1105799638972463,,
p_l5_l45,0.19841300561254113,,
p_lb_l23_45,0.12116073310307349,,
p_mat_sepsis_OL,0.23093515228140352,,
p_mat_sepsis_elective_CS,0.0638969463723963,,
p_mat_sepsis_emergency_CS,0.32742897781706926,,
p_mat_sepsis_other,0.0356,,
p_move_home_base,0.3,,
p_neo_sepsis_OL,0.19628187083569096,,
p_pph_OL,0.1496099251407643,,
p_pph_elective_CS,0.047119905659752534,,
p_pph_emergency_CS,0.15207324722276713,,
p_pph_other,0.01,,
p_ruptured_uterus,0.0191,,
p_stillbirth_OL,0.21404405317962563,,
p_stillbirth_hypoxia,0.27,,
phone_ownership,0.89,,
preterm_fac_target,0.134,,
scale_comps,4.48,,
scaled_factor_density,6.0,,
sen_comp_trad,0.7,,
sen_hypoxia_IS,0.7534215417398409,,
sen_ol_IS,0.873043415289114,,
sen_prolonged_IS,0.7652071342378268,,
sen_risk_trad,0.7641,,
sen_risk_trad_target,0.95,,
spec_comp_trad,0.75,,
spec_hypoxia_IS,0.9498503952014737,,
spec_ol_IS,0.95,,
spec_prolonged_IS,0.7634547986237392,,
spec_risk_trad,0.6306,,
spec_risk_trad_target,0.631,,
surgical_needed_below_thres,6.0,,
surgical_needed_perLB_above_thres,0.036,,
surgical_weight,10.0,,
t_l23_l45_notsevere,74.2358,,
t_l23_l45_preterm,80.9485,,
t_l23_l45_severe,90.0,,
t_l4_l4_severe,16.6,,
t_l4_l5_severe,44.7,,
usage_time_sensor_perday,1200.0,,
weight_facility_mat,2.6661,,
weight_facility_neo,3.15,,
