         12681992 function calls (12672568 primitive calls) in 6.645 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       37    0.000    0.000    0.000    0.000 indexing.py:2612(is_nested_tuple)
       72    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       40    0.000    0.000    0.000    0.000 blocks.py:500(dtype)
       36    0.000    0.000    0.000    0.000 numeric.py:381(_engine_type)
       36    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       79    0.000    0.000    0.000    0.000 base.py:5090(_values)
       67    0.000    0.000    0.000    0.000 common.py:1420(is_1d_only_ea_dtype)
       72    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       72    0.000    0.000    0.000    0.000 arraysetops.py:761(_isin_dispatcher)
        1    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
       36    0.000    0.000    0.000    0.000 numeric.py:192(_ensure_dtype)
        4    0.000    0.000    0.000    0.000 cast.py:1763(construct_1d_object_array_from_listlike)
       72    0.000    0.000    0.000    0.000 function_base.py:5502(_digitize_dispatcher)
        6    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
       72    0.000    0.000    0.000    0.000 arraysetops.py:519(_in1d_dispatcher)
        2    0.000    0.000    0.000    0.000 series.py:4773(_reduce)
       72    0.000    0.000    0.000    0.000 multiarray.py:668(result_type)
       36    0.000    0.000    0.000    0.000 base.py:1734(name)
       39    0.000    0.000    0.000    0.000 base.py:986(dtype)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        2    0.000    0.000    0.000    0.000 nanops.py:261(_get_values)
        2    0.000    0.000    0.000    0.000 utils.py:430(check_array_indexer)
       55    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 construction.py:488(<listcomp>)
        1    0.000    0.000    0.000    0.000 managers.py:2023(getitem_mgr)
       72    0.000    0.000    0.000    0.000 stride_tricks.py:476(_broadcast_arrays_dispatcher)
        6    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
       10    0.000    0.000    0.000    0.000 common.py:1751(pandas_dtype)
        8    0.000    0.000    0.000    0.000 series.py:661(name)
        3    0.000    0.000    0.000    0.000 blocks.py:2172(new_block)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:150(dirname)
       39    0.000    0.000    0.000    0.000 base.py:241(disallow_kwargs)
        1    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.isnaobj}
       14    0.000    0.000    0.000    0.000 managers.py:2058(dtype)
       36    0.000    0.000    0.000    0.000 multiarray.py:152(concatenate)
        1    0.000    0.000    0.000    0.000 series.py:966(__getitem__)
       36    0.000    0.000    0.000    0.000 function_base.py:5246(_insert_dispatcher)
       38    0.000    0.000    0.000    0.000 fromnumeric.py:432(_repeat_dispatcher)
       36    0.000    0.000    0.000    0.000 numeric.py:181(_validate_dtype)
        1    0.000    0.000    0.000    0.000 nanops.py:83(_f)
       10    0.000    0.000    0.000    0.000 generic.py:5888(__getattr__)
       36    0.000    0.000    0.000    0.000 numeric.py:1407(_moveaxis_dispatcher)
       36    0.000    0.000    0.000    0.000 shape_base.py:77(_atleast_2d_dispatcher)
        1    0.000    0.000    0.000    0.000 generic.py:11108(_logical_func)
        1    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_datetime_array}
       36    0.000    0.000    0.000    0.000 numeric.py:73(_zeros_like_dispatcher)
        9    0.000    0.000    0.000    0.000 series.py:611(name)
       10    0.000    0.000    0.000    0.000 construction.py:461(ensure_wrapped_if_datetimelike)
        4    0.000    0.000    0.000    0.000 blocks.py:2120(get_block_type)
       14    0.000    0.000    0.000    0.000 series.py:596(dtype)
       36    0.000    0.000    0.000    0.000 {pandas._libs.lib.item_from_zerodim}
       36    0.000    0.000    0.000    0.000 multiarray.py:84(empty_like)
        2    0.000    0.000    0.000    0.000 indexing.py:2522(check_bool_indexer)
        1    0.000    0.000    0.000    0.000 managers.py:2182(create_block_manager_from_column_arrays)
        2    0.000    0.000    0.000    0.000 cast.py:1673(construct_1d_arraylike_from_scalar)
        1    0.000    0.000    0.000    0.000 _asarray.py:31(require)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       16    0.000    0.000    0.000    0.000 common.py:1744(<genexpr>)
        6    0.000    0.000    0.000    0.000 common.py:162(is_object_dtype)
        3    0.000    0.000    0.000    0.000 series.py:565(_set_axis)
        1    0.000    0.000    0.000    0.000 generic.py:1516(__invert__)
        1    0.000    0.000    0.000    0.000 nanops.py:588(nansum)
        3    0.000    0.000    0.000    0.000 blocks.py:2091(maybe_coerce_values)
        2    0.000    0.000    0.000    0.000 inference.py:266(is_dict_like)
        8    0.000    0.000    0.000    0.000 common.py:1725(validate_all_hashable)
        4    0.000    0.000    0.000    0.000 construction.py:861(is_empty_data)
        2    0.000    0.000    0.000    0.000 managers.py:1917(from_blocks)
        1    0.000    0.000    0.000    0.000 generic.py:11443(_min_count_stat_function)
        3    0.000    0.000    0.000    0.000 blocks.py:2186(check_ndim)
        4    0.000    0.000    0.000    0.000 common.py:1433(is_extension_array_dtype)
        4    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        1    0.000    0.000    0.000    0.000 _dtype.py:344(_name_get)
        1    0.000    0.000    0.000    0.000 construction.py:100(arrays_to_mgr)
        2    0.000    0.000    0.000    0.000 managers.py:1934(from_array)
        3    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        4    0.000    0.000    0.000    0.000 nanops.py:86(<genexpr>)
        1    0.000    0.000    0.000    0.000 series.py:1278(_check_is_chained_assignment_possible)
        1    0.000    0.000    0.000    0.000 {built-in method _operator.invert}
        1    0.000    0.000    0.000    0.000 series.py:486(_init_dict)
        6    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 nanops.py:496(nanany)
        1    0.000    0.000    0.000    0.000 construction.py:881(create_series_with_explicit_dtype)
        1    0.000    0.000    0.000    0.000 generic.py:11166(any)
        3    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
        1    0.000    0.000    0.000    0.000 base.py:2752(_is_all_dates)
        1    0.000    0.000    0.000    0.000 series.py:1068(_get_values)
        8    0.000    0.000    0.000    0.000 inspect.py:283(ismodule)
        1    0.000    0.000    0.000    0.000 cast.py:863(infer_dtype_from_array)
        8    0.000    0.000    0.000    0.000 inspect.py:456(istraceback)
       16    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _asarray.py:112(<setcomp>)
        1    0.000    0.000    0.000    0.000 base.py:742(__iter__)
        1    0.000    0.000    0.000    0.000 blocks.py:345(apply)
        3    0.000    0.000    0.000    0.000 managers.py:228(set_axis)
        1    0.000    0.000    0.000    0.000 construction.py:627(_extract_index)
        3    0.000    0.000    0.000    0.000 base.py:58(_validate_set_axis)
        8    0.000    0.000    0.000    0.000 inspect.py:292(isclass)
        8    0.000    0.000    0.000    0.000 inspect.py:480(iscode)
        8    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
        1    0.000    0.000    0.000    0.000 missing.py:309(_isna_string_dtype)
        1    0.000    0.000    0.000    0.000 nanops.py:403(new_func)
        1    0.000    0.000    0.000    0.000 putmask.py:126(setitem_datetimelike_compat)
        2    0.000    0.000    0.000    0.000 base.py:494(find)
        1    0.000    0.000    0.000    0.000 generic.py:11492(sum)
        1    0.000    0.000    0.000    0.000 blocks.py:221(make_block)
        8    0.000    0.000    0.000    0.000 inspect.py:378(isfunction)
       12    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
       18    0.000    0.000    0.000    0.000 base.py:324(ndim)
        1    0.000    0.000    0.000    0.000 missing.py:268(_isna_array)
        1    0.000    0.000    0.000    0.000 generic.py:7765(isna)
        8    0.000    0.000    0.000    0.000 inspect.py:466(isframe)
        1    0.000    0.000    0.000    0.000 series.py:1289(_maybe_update_cacher)
        1    0.000    0.000    0.000    0.000 nanops.py:469(newfunc)
        1    0.000    0.000    0.000    0.000 blocks.py:836(_slice)
        2    0.000    0.000    0.000    0.000 base.py:5464(equals)
        2    0.000    0.000    0.000    0.000 base.py:46(__len__)
        6    0.000    0.000    0.000    0.000 inference.py:292(<genexpr>)
        1    0.000    0.000    0.000    0.000 _decorators.py:323(wrapper)
        1    0.000    0.000    0.000    0.000 inspect.py:1749(currentframe)
        1    0.000    0.000    0.000    0.000 common.py:303(maybe_iterable_to_list)
        2    0.000    0.000    0.000    0.000 nanops.py:350(_na_ok_dtype)
        2    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_all_arraylike}
        2    0.000    0.000    0.000    0.000 _validators.py:226(validate_bool_kwarg)
        1    0.000    0.000    0.000    0.000 blocks.py:376(_split_op_result)
        2    0.000    0.000    0.000    0.000 series.py:846(__array__)
        1    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 managers.py:513(is_view)
        1    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 generic.py:11777(sum)
        3    0.000    0.000    0.000    0.000 _ufunc_config.py:426(__init__)
        1    0.000    0.000    0.000    0.000 generic.py:11598(any)
        1    0.000    0.000    0.000    0.000 series.py:5707(isna)
        2    0.000    0.000    0.000    0.000 nanops.py:217(_maybe_get_mask)
        3    0.000    0.000    0.000    0.000 nanops.py:79(check)
        1    0.000    0.000    0.000    0.000 nanops.py:1453(_maybe_null_out)
        1    0.000    0.000    0.000    0.000 cast.py:739(infer_dtype_from)
        1    0.000    0.000    0.000    0.000 managers.py:1864(_consolidate_inplace)
        2    0.000    0.000    0.000    0.000 generic.py:445(_validate_dtype)
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 managers.py:1846(is_consolidated)
        1    0.000    0.000    0.000    0.000 managers.py:1854(_consolidate_check)
        1    0.000    0.000    0.000    0.000 base.py:356(size)
        3    0.000    0.000    0.000    0.000 base.py:574(_ensure_array)
        1    0.000    0.000    0.000    0.000 generic.py:4315(_is_view)
        2    0.000    0.000    0.000    0.000 series.py:764(__len__)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 base.py:413(_engine_type)
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 common.py:393(is_timedelta64_dtype)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 blocks.py:1903(is_view)
        3    0.000    0.000    0.000    0.000 series.py:546(_constructor)
        1    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        1    0.000    0.000    0.000    0.000 construction.py:231(mgr_to_mgr)
        2    0.000    0.000    0.000    0.000 base.py:2783(_is_multi)
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 function.py:56(__call__)
        1    0.000    0.000    0.000    0.000 base.py:728(_constructor)
        2    0.000    0.000    0.000    0.000 managers.py:238(items)
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _dtype.py:330(_name_includes_bit_suffix)
        1    0.000    0.000    0.000    0.000 common.py:537(is_string_or_object_np_dtype)
        2    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.000    0.000 base.py:839(is_)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_object}
        2    0.000    0.000    0.000    0.000 nanops.py:195(_get_fill_value)
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 cast.py:1422(sanitize_to_nanoseconds)
        1    0.000    0.000    0.000    0.000 managers.py:2054(index)
        2    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_bool}
        1    0.000    0.000    0.000    0.000 nanops.py:1492(check_below_min_count)
        1    0.000    0.000    0.000    0.000 managers.py:1882(ndim)
        1    0.000    0.000    0.000    0.000 series.py:1274(_clear_item_cache)


