         12681992 function calls (12672568 primitive calls) in 6.645 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3981    0.001    0.000    0.032    0.000 fromnumeric.py:2111(clip)
     1440    0.001    0.000    0.018    0.000 frame.py:4274(_get_item_cache)
     2304    0.001    0.000    0.010    0.000 indexing.py:896(<listcomp>)
     1410    0.001    0.000    0.002    0.000 generic.py:259(__init__)
     2308    0.001    0.000    0.005    0.000 common.py:96(is_bool_indexer)
     3981    0.001    0.000    0.035    0.000 <__array_function__ internals>:177(clip)
     6366    0.001    0.000    0.001    0.000 {method 'randn' of 'numpy.random.mtrand.RandomState' objects}
     2341    0.001    0.000    0.011    0.000 generic.py:3748(_maybe_update_cacher)
     1368    0.001    0.000    0.007    0.000 frame.py:4257(_box_col_values)
      216    0.001    0.000    0.002    0.000 global_func.py:370(doppler_usage_time)
     2344    0.001    0.000    0.007    0.000 config.py:134(_get_option)
     7490    0.001    0.000    0.001    0.000 common.py:362(apply_if_callable)
     7488    0.001    0.000    0.001    0.000 frame.py:857(axes)
     6912    0.001    0.000    0.001    0.000 indexing.py:810(<genexpr>)
     4609    0.001    0.000    0.002    0.000 managers.py:275(arrays)
     9293    0.001    0.000    0.001    0.000 generic.py:550(_get_axis_number)
     2341    0.001    0.000    0.009    0.000 generic.py:4137(_check_setitem_copy)
     2261    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     2016    0.001    0.000    0.005    0.000 fromnumeric.py:2188(sum)
     2344    0.001    0.000    0.001    0.000 config.py:597(_get_root)
     2306    0.001    0.000    0.001    0.000 blocks.py:2250(extend_blocks)
     4688    0.001    0.000    0.001    0.000 config.py:611(_get_deprecated_option)
1373/1372    0.001    0.000    0.003    0.000 series.py:342(__init__)
       36    0.001    0.000    0.001    0.000 global_func.py:68(P_IVH_vectorized)
     2347    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
     4320    0.001    0.000    0.001    0.000 indexing.py:1064(<genexpr>)
     2308    0.001    0.000    0.002    0.000 inference.py:188(is_array_like)
       72    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
