scenario,intervention,level,pph,maternal_sepsis,eclampsia,obstructed_labor,severe_complication,maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,109.47927643133121,6.321639737735628
mentors_current,MENTORS,current,6.106266830581899,8.840863189322093,0.7685648635991101,3.7691649104320337,3.6956884439761155,93.91464699683878,6.199435077859736
mentors_moderate,MENTORS,moderate,5.532087870272802,7.650114155251142,0.7051208874839012,3.7173267181828824,3.4029241306638562,90.29973071068962,6.07349841938883
mentors_high,MENTORS,high,4.884651972836904,6.360437887835148,0.6344763493736096,3.657424481910783,3.077845100105374,86.340885142255,5.891289076220582
prompts_base,PROMPTS,base,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,109.47927643133121,6.321639737735628
prompts_current,PROMPTS,current,8.972119775201968,11.771835850602974,0.8427218709752956,3.9474080903875426,4.632815244116614,107.488877180658,6.266318346797799
prompts_moderate,PROMPTS,moderate,8.698695995785037,11.465760742301837,0.83405046247512,3.9778641259805645,4.544205889240136,96.37337548296453,5.671832923545252
prompts_high,PROMPTS,high,7.156985423252546,9.825196112867346,0.7824757054209109,4.248243765367053,4.230235042735043,76.12545369394685,4.373170588924014
prompts_high_shift,PROMPTS,high_shift,7.999048706240488,10.316019786910198,0.7449361901416696,4.129493033602623,4.393074581430746,71.51533778246107,4.491789603090973
blood_base,Blood,base,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,109.47927643133121,6.321639737735628
blood_current,Blood,current,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,96.56363423486711,6.321639737735628
blood_moderate,Blood,moderate,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,82.99672169535182,6.321639737735628
blood_high,Blood,high,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,62.2585177379698,6.321639737735628
referral_base,Referral,base,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,109.47927643133121,6.321639737735628
referral_current,Referral,current,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,109.47927643133121,6.321639737735628
referral_moderate,Referral,moderate,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,106.96932443507785,6.321639737735628
referral_high,Referral,high,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,104.65694883503103,6.321639737735628
pulse_base,PULSE,base,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,109.47927643133121,6.321639737735628
pulse_current,PULSE,current,8.983710923779418,11.766120770401592,0.8440536822386137,3.945644538110291,4.644091733988994,109.47927643133121,6.321639737735628
pulse_moderate,PULSE,moderate,8.983710923779418,10.78974212621473,0.8393703898840886,3.945644538110291,4.512996136283808,106.50831284392929,6.355666783748976
pulse_high,PULSE,high,8.983710923779418,9.87312668305819,0.8437463411778481,3.945644538110291,4.378439292822854,105.97412480974124,6.3344456152675335
fqa_base,FQA,base,6.267057428872497,9.184851012761971,0.7865955391640324,3.7837197049525817,3.7763288842055966,95.31963470319636,6.229291066619834
fqa_current,FQA,current,6.262425360028099,9.174789251844047,0.7861125746399719,3.7832367404285216,3.7737823439878233,95.24645826015688,6.227973890645123
fqa_moderate,FQA,moderate,6.189461128673457,9.019552745580143,0.7788681067790657,3.7757946961714084,3.7373258400655662,94.50737618545838,6.205362369745932
fqa_high,FQA,high,6.120089860672053,8.869438590329,0.7725749326776724,3.768235569605433,3.70120594778129,93.94391757405455,6.184214377707528
