scenario,intervention,level,location,location_code,births,delivery_share,anc,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths,maternal_deaths_per_100k,neonatal_deaths,neonatal_deaths_per_1000,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,Home,0,6262.18,0.09164881161456505,0.6954243708227734,0.04811229419844532,0.10838488268083768,0.009214800206173454,0.0422056022821642,0.016480600957748972,0.00328396691177415,0.03212726852655161,32.32,515.9165826876279,120.12,19.174786718893102,0.2943993148719521,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,L2/3,1,12575.905,0.18405199918042384,0.3637650688588156,0.05346515667114375,0.10157418220858588,0.007292542557971983,0.026100568633049496,0.013975877445689766,0.0030061547936367835,0.0024226838008987823,3.345,26.595473388033806,43.775,3.4803327042111216,0.30045260102566557,0.0,0.27829567035128727,0.1480274580209332,0.0
mentors_base,MENTORS,base,L4,2,36345.455,0.5319262235101276,0.8806769314577578,0.0859701037047891,0.10336892141093987,0.007021268407496043,0.03559544803034098,0.019208979466689795,0.004259369945232986,0.03093776035869417,13.305,36.714971086491985,157.415,4.3323330193630065,0.2911100474024696,0.0,0.5842096008540318,0.36687299741939355,0.0
mentors_base,MENTORS,base,L5,3,13144.46,0.1923729656948835,0.7301063921434331,0.15501840523102417,0.17676963688031846,0.013048281068239171,0.061354868103564476,0.03080656695316897,0.006397369679924181,0.13750913290054345,25.835,195.14946213959146,110.635,8.394581473061784,0.2706792421427951,0.0,0.5883700465132962,0.3609498598002234,0.0
mentors_current,MENTORS,current,Home,0,6262.18,0.09164881161456505,0.6954243708227734,0.04546810682137066,0.10170471633693186,0.008669090504000011,0.0422056022821642,0.016480600957748972,0.00328396691177415,0.030833388583524288,31.17,497.5692769181147,118.77,18.961790036399762,0.6639561105389647,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,L2/3,1,12577.42,0.1840741716426648,0.36472614891920707,0.051894946973496205,0.09760744837910075,0.007026876211351469,0.02593551460741571,0.01389059572391154,0.002988208072003826,0.002387869498599316,3.11,24.72445302057385,43.555,3.4623613132577606,0.6743994724082958,0.0,0.293934034777602,0.15529821222393278,0.0
mentors_current,MENTORS,current,L4,2,36398.17,0.5326977227490926,0.8806722902991636,0.053244096152762085,0.07001008227691535,0.0062431632068961455,0.0332835567306226,0.01922449953954541,0.004263120482766663,0.02405569422451142,10.71,29.520497572665754,153.195,4.210320890040744,0.6594866339900451,0.6478826112654066,0.648082480534532,0.6547290238349648,0.0
mentors_current,MENTORS,current,L5,3,13090.23,0.19157929399367757,0.7286410157170288,0.09896210521851595,0.12421501496689587,0.011815529431310043,0.0588408735830493,0.030894542897738173,0.006413477288996233,0.10835752734285763,19.18,145.48883462718115,108.075,8.235813758135809,0.6339535822652256,0.6583391466493863,0.654208314690303,0.6541479849876339,0.0
mentors_moderate,MENTORS,moderate,Home,0,6262.18,0.09164881161456505,0.6954243708227734,0.04462553362923899,0.09945800651137648,0.008537786328634483,0.0422056022821642,0.016480600957748972,0.00328396691177415,0.03052558673481863,30.78,491.2668106615458,119.19,19.0282434106842,0.7828924115830108,0.0,0.0,0.0,0.0
mentors_moderate,MENTORS,moderate,L2/3,1,12578.835,0.18409488057604495,0.3651690295096614,0.05133334662898033,0.09403394842070872,0.006691121377243815,0.025737129742760535,0.013838941536696485,0.002981880950618397,0.002343451569444443,3.18,25.288352429648388,43.12,3.427411581046454,0.7996877485870819,0.0,0.35308093226194087,0.18688987158337902,0.0
