scenario,intervention,level,run,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,1,0.7399748273035944,0.6119160519845451,0.7243443390703664,0.0,0.6119160519845451,0.12980037466338837,0.35133611455631975,0.4225955575600406,0.22606832788363965,0.040378761269172225,0.0,0.005122351012761972,0.04629141786676033,0.01074230183819225,0.28558120277404,0.0,0.4881450488145049,0.3062548412083656,0.0,0.07888420559653436,0.12075576630371151,0.008151855754595481,0.04760859384147055,0.02073820395738204,0.0044637630254068614,0.05038929867696991,98.05643367287203,59.61203840948637,7.37618545837724
mentors_current,MENTORS,current,1,0.7399748273035944,0.6119160519845451,0.7243443390703664,0.0,0.6119160519845451,0.12917105725324904,0.34930886018581464,0.42397462043961026,0.22671651937457513,0.09223158880693128,0.04327654841353472,0.005415056784919799,0.07743531202435312,0.028290012879053975,0.6523134251112721,0.5629164287074053,0.5385735080058224,0.539622641509434,0.0,0.055409202669476645,0.0931975178550521,0.007654255941927175,0.04561819459079733,0.02073820395738204,0.0044637630254068614,0.041212972719822036,92.20231822971549,46.72294902365148,7.142020840650978
mentors_moderate,MENTORS,moderate,1,0.7399748273035944,0.6119160519845451,0.7243297037817585,0.0,0.6119160519845451,0.12884908090387542,0.34802362562471606,0.4249204906860518,0.22705588368923216,0.11030617023767708,0.051589392342817,0.006395621121648519,0.09110467158412364,0.0333245521601686,0.7801469827140047,0.6763238679969301,0.649331352154532,0.6470221390707827,0.0,0.05069663973773563,0.08160636927760215,0.007024938531787847,0.04509132420091324,0.02073820395738204,0.0044637630254068614,0.03831518557545955,105.3740779768177,62.83431075594509,7.698161807750849
mentors_high,MENTORS,high,1,0.7399748273035944,0.6119160519845451,0.7243297037817585,0.0,0.6119160519845451,0.12845392811146236,0.34738521134784095,0.42577190383958075,0.22684288481257833,0.13173223275963003,0.06095597705186746,0.007507903055848262,0.1057253249034071,0.03993970261093549,0.9316840906738433,0.806077027288562,0.783206106870229,0.7680204125026578,0.0,0.04536939468446318,0.0695322561760918,0.00619072708113804,0.04444737150216602,0.02073820395738204,0.0044637630254068614,0.035329586699449717,115.61878000234164,56.38976606302764,7.683526519142958
prompts_base,PROMPTS,base,1,0.7399748273035944,0.6119160519845451,0.7243443390703664,0.0,0.6119160519845451,0.12980037466338837,0.35133611455631975,0.4225955575600406,0.22606832788363965,0.040378761269172225,0.0,0.005122351012761972,0.04629141786676033,0.01074230183819225,0.28558120277404,0.0,0.4881450488145049,0.3062548412083656,0.0,0.07888420559653436,0.12075576630371151,0.008151855754595481,0.04760859384147055,0.02073820395738204,0.0044637630254068614,0.05038929867696991,98.05643367287203,59.61203840948637,7.37618545837724
prompts_current,PROMPTS,current,1,0.741657885493502,0.6145504039339655,0.7244175155134059,0.0,0.6145504039339655,0.1273855520430863,0.35110294117647056,0.4235983455882353,0.22529871323529413,0.040451937712211686,0.0,0.005166256878585645,0.046101159114857744,0.010727666549584357,0.2854192482445271,0.0,0.49232914923291493,0.30535091120589375,0.0,0.07878175857627913,0.1206094134176326,0.00813722046598759,0.047593958552862664,0.02073820395738204,0.0044637630254068614,0.0504039339655778,106.83760683760684,69.23312241382087,7.8884205596534365
prompts_moderate,PROMPTS,moderate,1,0.8055555555555556,0.6633151855754595,0.7244467860906217,0.0,0.6633151855754595,0.07101042032548882,0.3534624896949711,0.4218878812860676,0.22464962901896127,0.0438034188034188,0.0,0.005034539281114624,0.04558892401358155,0.010815478281231706,0.28531935176358436,0.0,0.5126676602086438,0.30866032500990886,0.0,0.07875248799906334,0.1190873434024119,0.007742067673574523,0.04970144011239901,0.020504039339655777,0.004200327830464817,0.051106427818756586,98.05643367287203,57.69878031189397,6.07364477227491
prompts_high,PROMPTS,high,1,0.9857891347617375,0.7249736564805058,0.7249736564805058,0.0,0.7249736564805058,0.0,,,,0.05372614447956914,0.0,0.004639386488701557,0.03708582133239668,0.0115033368458026,0.28565870360283246,0.0,0.5023771790808241,0.30350940232363155,0.0,0.06708816297857394,0.09890528041212973,0.007346914881161457,0.05214553330991687,0.02082601568902939,0.004332045427935839,0.04839889942629669,77.56702962182415,61.986426561978476,5.2101627444093195
prompts_high_shift,PROMPTS,high_shift,1,0.9585528626624517,0.7621326542559419,0.7984720758693361,0.0,0.7621326542559419,0.04605725324903407,0.371147124245313,0.4086431522084525,0.2202097235462345,0.05207235686687742,0.0,0.005312609764664559,0.04393513640088983,0.011664325020489403,0.28548503570568884,0.0,0.5567484662576687,0.3321531312237221,0.0,0.07547418335089567,0.10492038402997307,0.006966397377356282,0.05065273387191195,0.020504039339655777,0.0046979276431331225,0.04816473480857043,60.00468329235453,41.349915709787204,5.239433321625103
blood_base,Blood,base,1,0.7399748273035944,0.6119160519845451,0.7243443390703664,0.0,0.6119160519845451,0.12980037466338837,0.35133611455631975,0.4225955575600406,0.22606832788363965,0.040378761269172225,0.0,0.005122351012761972,0.04629141786676033,0.01074230183819225,0.28558120277404,0.0,0.4881450488145049,0.3062548412083656,0.0,0.07888420559653436,0.12075576630371151,0.008151855754595481,0.04760859384147055,0.02073820395738204,0.0044637630254068614,0.05038929867696991,98.05643367287203,59.61203840948637,7.37618545837724
