scenario,intervention,level,location,location_code,births,delivery_share,anc,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths,maternal_deaths_per_100k,neonatal_deaths,neonatal_deaths_per_1000,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,Home,0,70818.81,0.3484834661942722,0.1111632435715261,0.030505460456282697,0.1017007605997051,0.028564470594135548,0.05463292176447464,0.016957086095479173,0.01849631509833378,0.029717895722808654,336.125,474.5026795284648,1949.585,27.548465877453573,0.24137377996141524,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,L2/3,1,53285.71,0.2622070170258833,0.7324401920636483,0.009812700761005494,0.025947987629672827,0.006128884796821279,0.014175764777412486,0.004911655988849203,0.005349599050563692,0.0033462672843784574,13.55,25.41656187808799,113.865,2.138238030339917,0.2638935365053594,0.0,0.2650696581839698,0.14092231055721566,0.0
mentors_base,MENTORS,base,L4,2,54291.86,0.26715805530951675,0.876193772277532,0.06864294150940033,0.12193254832667909,0.02497665583043513,0.0553704887877723,0.022941598727204807,0.024948443912027055,0.025519258071843486,25.35,46.849799758398156,463.85,8.544883195800326,0.23544182535010294,0.0,0.4565439904852288,0.28596414750395244,0.0
mentors_base,MENTORS,base,L5,3,24823.62,0.12215146147032772,0.7846222551300847,0.11564131340069422,0.20173122807480123,0.03998761121111113,0.08881460795752448,0.03541660157584779,0.038399477126611965,0.10304853545248943,63.89,255.56409930374804,424.36,17.08312739349055,0.21722833492843405,0.0,0.4607007547872706,0.28450555685270595,0.0
mentors_current,MENTORS,current,Home,0,70818.81,0.3484834661942722,0.1111632435715261,0.030351174121275498,0.10110793743053538,0.028443782127804903,0.05463292176447464,0.016957086095479173,0.01849631509833378,0.02965723517441794,334.84,472.7077332104671,1954.91,27.61738841221566,0.519187550768215,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,L2/3,1,53508.825,0.2633049158547387,0.7335486164823223,0.009368698070009283,0.024657839947819334,0.005860098316962171,0.014136254127015404,0.004898241941947416,0.0053279633664482726,0.0032578082253233815,13.37,24.991885061905432,113.755,2.126667887698787,0.5525230024355805,0.0,0.26381373239562356,0.14107380686576373,0.0
mentors_current,MENTORS,current,L4,2,54215.06,0.2667801397500246,0.8760167664242942,0.04680409204057043,0.0887968610529173,0.022397474033029056,0.054967566902989276,0.022984549023047637,0.02500287241536487,0.021805095828729214,20.08,37.17697698378298,464.97,8.577798299386671,0.5118937533590757,0.5691433951927336,0.5636180459231084,0.5663968279074332,0.0
mentors_current,MENTORS,current,L5,3,24677.305,0.12143147820096446,0.7833662201545857,0.07921668071885204,0.1488371462389457,0.0361524944429282,0.0887706176011079,0.0355883025824253,0.03858354515435497,0.08811452711976676,48.905,196.78107233175473,420.45,17.024120961793535,0.4869953168857151,0.5699723060884868,0.5680568684871244,0.56363780323267,0.0
mentors_moderate,MENTORS,moderate,Home,0,70818.81,0.3484834661942722,0.1111632435715261,0.030221264101983933,0.10066812986941193,0.028354313165577558,0.05463292176447464,0.016957086095479173,0.01849631509833378,0.029606562254849207,333.14,470.4401796094502,1946.69,27.5028338904413,0.7426261929255973,0.0,0.0,0.0,0.0
mentors_moderate,MENTORS,moderate,L2/3,1,53736.88,0.2644271233146344,0.7344011936293513,0.009030748030028454,0.022625121046281626,0.005340830996751667,0.01395873482924894,0.004883587253747827,0.005305494266580524,0.0031217746034904125,13.205,24.59420851926332,112.16,2.0882192329893887,0.7595743524649533,0.0,0.3761749801346576,0.1996846438835011,0.0
