scenario,intervention,level,pph,maternal_sepsis,eclampsia,obstructed_labor,severe_complication,maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,215.98021848243283,14.524456254305678
mentors_current,MENTORS,current,3.5144596988485386,8.348206377325067,2.1828289538431256,4.824419348489322,2.777841747859463,205.29229406554475,14.536389134927665
mentors_moderate,MENTORS,moderate,3.1251673063674836,7.269412459403603,2.019390315913788,4.775100875898041,2.5991216415707115,199.89912410195848,14.401756716858577
mentors_high,MENTORS,high,2.7880621986025,6.361376832988879,1.8803882491880721,4.730693337269954,2.4461593347111505,194.02863891349276,14.28186202145458
prompts_base,PROMPTS,base,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,215.98021848243283,14.524456254305678
prompts_current,PROMPTS,current,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,215.98021848243283,14.524456254305678
prompts_moderate,PROMPTS,moderate,4.596001869894695,9.810582127743332,2.258409605353804,4.8161229209723455,3.044323885444346,198.53606928451924,13.699340616081095
prompts_high,PROMPTS,high,4.711691762621789,9.563625627398878,2.1249827772857004,4.743858872158252,3.012400354295837,155.36364531050094,11.379539415411868
prompts_high_shift,PROMPTS,high_shift,4.759386379293376,9.297382147426434,2.005791752780238,4.7044114752485,2.970920677098711,128.17143981891547,9.871026473772266
blood_base,Blood,base,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,215.98021848243283,14.524456254305678
blood_current,Blood,current,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,192.97313256569237,14.524456254305678
blood_moderate,Blood,moderate,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,170.1801003838205,14.524456254305678
blood_high,Blood,high,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,129.87402814683594,14.524456254305678
referral_base,Referral,base,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,215.98021848243283,14.524456254305678
referral_current,Referral,current,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,215.98021848243283,14.524456254305678
referral_moderate,Referral,moderate,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,214.04389331758685,14.524456254305678
referral_high,Referral,high,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,212.26749335695305,14.524456254305678
pulse_base,PULSE,base,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,215.98021848243283,14.524456254305678
pulse_current,PULSE,current,4.567488436177541,9.946732605058557,2.3127472689695896,4.843674343076469,3.071752288160614,215.98021848243283,14.524456254305678
pulse_moderate,PULSE,moderate,4.567488436177541,9.1011416199193,2.3070219466587933,4.843674343076469,2.998272807794508,212.37575041826594,14.509718531640587
pulse_high,PULSE,high,4.567488436177541,8.333158645802579,2.308921366007283,4.843674343076469,2.9260087589804153,210.8281665190434,14.514713118787519
fqa_base,FQA,base,3.5144596988485386,8.348206377325067,2.1828289538431256,4.824419348489322,2.777841747859463,205.29229406554475,14.536389134927665
fqa_current,FQA,current,3.5144596988485386,8.348206377325067,2.1828289538431256,4.824419348489322,2.777841747859463,205.29229406554475,14.536389134927665
fqa_moderate,FQA,moderate,3.481099301249877,8.249286487550439,2.170327723649247,4.819348489321917,2.7616991437850604,205.12744808581832,14.518797362464325
fqa_high,FQA,high,3.4508316110619033,8.160432044090149,2.1592805826198207,4.814887806318276,2.747067217793524,204.73624643243775,14.51048125184529
